"No","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","240d:1a:4c8:6b00:7839:217d:4fcf:5a08","2001:67c:1560:8003::c7","NTP","110","NTP Version 4, client"
"2","0.306447706","2001:67c:1560:8003::c7","240d:1a:4c8:6b00:7839:217d:4fcf:5a08","NTP","110","NTP Version 4, server"
"3","5.144804811","fe80::f82a:e6cd:d697:f8dd","fe80::e67e:66ff:fe41:54e3","ICMPv6","86","Neighbor Solicitation for fe80::e67e:66ff:fe41:54e3 from d8:f2:ca:ce:44:8d"
"4","5.149307471","fe80::e67e:66ff:fe41:54e3","fe80::f82a:e6cd:d697:f8dd","ICMPv6","78","Neighbor Advertisement fe80::e67e:66ff:fe41:54e3 (rtr, sol)"
"5","5.322801788","fe80::1","240d:1a:4c8:6b00:7839:217d:4fcf:5a08","ICMPv6","86","Neighbor Solicitation for 240d:1a:4c8:6b00:7839:217d:4fcf:5a08 from e4:7e:66:41:54:e3"
"6","5.322857534","240d:1a:4c8:6b00:7839:217d:4fcf:5a08","fe80::1","ICMPv6","78","Neighbor Advertisement 240d:1a:4c8:6b00:7839:217d:4fcf:5a08 (sol)"
"7","5.623873994","150.95.139.51","192.168.1.2","TCP","74","33396  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1412 SACK_PERM=1 TSval=3262423129 TSecr=0 WS=128"
"8","5.623923066","192.168.1.2","150.95.139.51","TCP","74","80  >  33396 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2792897624 TSecr=3262423129 WS=128"
"9","5.629298536","150.95.139.51","192.168.1.2","TCP","66","33396  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3262423185 TSecr=2792897624"
"10","5.629366664","150.95.139.51","192.168.1.2","TCP","291","33396  >  80 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=225 TSval=3262423185 TSecr=2792897624 [TCP segment of a reassembled PDU]"
